Time [s]	Flow rate [10^-12 ml/s]	Transported volume [10^-12 ml]
0.17300000000000001	0.054938333333	0.006350653062
0.301	0.054938333333	0.01338407989
0.429	0.054938333333	0.020416078320999998
0.557	0.054938333333	0.027448076752
0.661	0.054938333333	0.033164521546
0.789	0.054938333333	0.040193663183
0.917	0.054938333333	0.047225661614
1.045	0.054938333333	0.054257660044999996
1.173	0.054938333333	0.061291086873
1.301	0.054938333333	0.068321656907
1.429	0.054938333333	0.075355083735
1.557	0.054938333333	0.08238708216599999
1.661	0.054938333333	0.088100670166
1.7890000000000001	0.054938333333	0.095132668597
1.917	0.054938333333	0.10216466702799999
2.045	0.054938333333	0.109196665459
2.173	0.054938333333	0.11622866389
2.301	0.054938333333	0.123260662321
2.4290000000000003	0.054938333333	0.130292660752
2.557	0.054938333333	0.13732608758
2.661	0.054938333333	0.14304110397699998
2.789	0.054938333333	0.150070245614
2.9170000000000003	0.054938333333	0.157102244045
3.045	0.054938333333	0.164135670873
3.173	0.054938333333	0.171166240907
3.301	0.054938333333	0.178198239338
3.4290000000000003	0.054938333333	0.185231666166
3.557	0.054938333333	0.1922622362
3.661	0.054938333333	0.19797868099399998
3.789	0.054938333333	0.205009251028
3.9170000000000003	0.054938333333	0.212041249459
4.045	0.054938333333	0.21907324789
4.173	0.054938333333	0.226105246321
4.301	0.054938333333	0.23313724475199998
4.429	0.054938333333	0.24017067158
4.557	0.054938333333	0.247201241614
4.6610000000000005	0.054938333333	0.252916258011
4.789	0.054938333333	0.259948256442
4.917	0.054938333333	0.266980254873
5.045	0.054938333333	0.274012253304
5.173	0.054938333333	0.281042823338
5.429	0.054938333333	0.295109676994
5.557	0.054938333333	0.302140247028
5.6610000000000005	0.054938333333	0.30785526342499997
5.789	0.054938333333	0.31488726185599997
5.917	0.054938333333	0.321919260287
6.045	0.054938333333	0.328951258718
6.173	0.054938333333	0.335983257149
6.301	0.054938333333	0.343013827183
6.429	0.054938333333	0.350045825614
6.557	0.054938333333	0.357077824045
6.6610000000000005	0.054938333333	0.362794268839
6.789	0.054938333333	0.369824838873
6.917	0.054938333333	0.376856837304
7.045	0.054938333333	0.383888835735
7.173	0.054938333333	0.39092369096
7.301	0.054938333333	0.397952832597
7.445	-0.016666666666	0.386687065458
7.573	-0.016666666666	0.384554468737
7.7010000000000005	-0.016666666666	0.382420443619
7.805	-0.016666666666	0.380686369661
7.933	-0.016666666666	0.37855377294000003
8.061	-0.016666666666	0.376419747822
8.189	-0.016666666666	0.374287151101
8.317	-0.016666666666	0.372153125983
8.445	-0.016666666666	0.370020529262
8.573	-0.016666666666	0.36788650414400004
8.701	-0.016666666666	0.365753907423
8.805	-0.016666666666	0.364019833465
8.933	-0.016666666666	0.361885808347
9.061	-0.016666666666	0.359753211626
9.189	-0.016666666666	0.357619186508
9.317	-0.016666666666	0.355486589787
9.445	-0.016666666666	0.353352564669
9.573	-0.016666666666	0.351218539551
9.701	-0.016666666666	0.34908594283
9.805	-0.016666666666	0.34735186887200004
9.933	-0.016666666666	0.345219272151
10.061	-0.016666666666	0.34308524703300003
10.317	-0.016666666666	0.338818625194
10.445	-0.016666666666	0.336684600076
10.701	-0.016666666666	0.33241797823700003
10.805	-0.016666666666	0.330683904279
10.933	-0.016666666666	0.328551307558
11.061	-0.016666666666	0.326418710837
11.189	-0.016666666666	0.32428468571900004
11.317	-0.016666666666	0.322150660601
11.445	-0.016666666666	0.32001806388
11.573	-0.016666666666	0.317884038762
11.701	-0.016666666666	0.31575144204100003
11.805	-0.016666666666	0.314017368083
11.933	-0.016666666666	0.311884771362
12.061	-0.016666666666	0.309750746244
12.189	-0.016666666666	0.307616721126
12.317	-0.016666666666	0.305484124405
12.445	-0.016666666666	0.303350099287
12.573	-0.016666666666	0.301217502566
12.701	-0.016666666666	0.299083477448
12.805	-0.016666666666	0.29734940349
12.933	-0.016666666666	0.29521680676900003
13.061	-0.016666666666	0.293084210048
13.173	-0.016666666666	0.291218723566
